"tesi","Length","class","shoot","Tree","rank_node","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","is_in_sylleptic","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic","B","position"
"AUTOR",4.5,"Sh",48,9,6,0,0,0,2,5,0,1,"M",1,"NO",1.5,"Sh",4,0,2,0,0,1,"AP"
"AUTOR",25,"Lo",49,9,12,0,0,0,0,0,0,1,"V",1,"NO",2,"Sh",6,1,2,0,2,2,"AP"
"AUTOR",19,"Me",50,9,8,0,0,0,0,0,0,1,"V",1,"NO",1,"Sh",4,0,3,0,0,1,"AP"
"AUTOR",4.5,"Sh",51,9,4,0,0,0,0,0,0,1,"V",1,"NO",2.2,"Sh",6,0,1,3,4,1,"AP"
"AUTOR",2,"Sh",52,9,2,0,0,0,0,0,0,1,"M",1,"NO",6,"Me",6,0,3,0,1,3,"AP"
"AUTOR",54,"VLo",53,9,15,0,0,0,1,4,0,1,"M",1,"NO",1,"Sh",5,0,2,0,0,3,"AP"
"AUTOR",8.5,"Me",54,9,7,0,0,0,0,0,0,1,"V",1,"NO",1.7,"Sh",4,0,3,0,0,0,"AP"
"AUTOR",6,"Me",55,9,5,0,0,0,0,0,0,1,"M",1,"NO",2.5,"Sh",3,0,1,0,1,2,"AP"
"AUTOR",10.2,"Me",56,9,8,0,0,0,0,0,0,1,"V",1,"NO",7.7,"Me",7,8,5,5,0,1,"AP"
"AUTOR",12,"Me",57,9,7,0,0,0,0,0,0,1,"M",1,"NO",1.4,"Sh",4,0,3,0,1,1,"AP"
"AUTOR",2,"Sh",58,9,3,0,0,0,0,0,0,1,"V",1,"NO",2.7,"Sh",4,1,1,0,0,1,"AP"
"AUTOR",54,"VLo",59,9,22,0,0,0,0,0,0,1,"V",1,"NO",0.8,"Sh",3,0,1,0,1,2,"AP"
"AUTOR",3,"Sh",60,9,4,0,0,0,0,0,0,1,"V",1,"NO",2,"Sh",5,1,0,0,1,3,"AP"
"AUTOR",46,"VLo",61,9,20,0,1,0,0,0,0,2,"V",1,"NO",41.5,"VLo",17,4,16,1,9,1,"AP"
"AUTOR",9,"Me",62,9,8,0,0,0,0,0,0,1,"V",1,"NO",14.5,"Me",9,3,8,2,0,4,"AP"
"AUTOR",4.8,"Sh",63,9,4,0,0,0,0,0,0,1,"M",1,"NO",1.7,"Sh",3,0,2,0,1,1,"AP"
"AUTOR",28,"Lo",64,9,16,0,0,0,0,0,0,1,"V",1,"NO",5,"Sh",7,3,5,0,1,2,"AP"
"AUTOR",10,"Me",65,9,7,0,0,0,0,0,0,1,"M",1,"NO",2.2,"Sh",7,0,4,0,1,3,"AP"
"AUTOR",58,"VLo",66,9,19,0,1,0,0,0,0,2,"V",1,"NO",8,"Me",9,0,4,0,3,3,"AP"
"AUTOR",26.5,"Lo",67,9,12,0,0,0,0,0,0,1,"M",1,"NO",2,"Sh",1,0,0,0,1,0,"AP"
"AUTOR",26.5,"Lo",68,9,13,0,0,0,0,0,0,1,"V",1,"NO",2.5,"Sh",5,4,2,3,0,1,"AP"
