"tesi","Length","type","shoot","Tree","rank_node","c","v","m","cl","nu","b","tot_buds","new_shoots","n_lateral_buds","n_apical_buds","which_apicals"
"AUTOR",43,"VLo",7,8,2,0,0,0,0,0,1,1,1,1,0,NA
"AUTOR",43,"VLo",7,8,3,0,2,0,0,0,0,2,1,2,0,NA
"AUTOR",43,"VLo",7,8,4,1,0,0,0,0,0,1,1,1,0,NA
"AUTOR",43,"VLo",7,8,5,1,0,3,1,5,0,4,2,4,0,NA
"AUTOR",43,"VLo",7,8,6,0,1,1,1,6,0,2,1,2,0,NA
"AUTOR",43,"VLo",7,8,7,1,2,0,0,0,0,3,1,3,0,NA
"AUTOR",43,"VLo",7,8,8,1,1,1,0,0,0,3,2,3,0,NA
"AUTOR",43,"VLo",7,8,9,0,0,1,0,0,0,1,0,1,0,NA
"AUTOR",43,"VLo",7,8,10,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",43,"VLo",7,8,11,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",43,"VLo",7,8,12,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",43,"VLo",7,8,13,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",43,"VLo",7,8,14,0,2,0,0,0,0,3,2,2,1,"V"
"AUTOR",30,"Lo",9,8,1,0,1,0,0,0,0,1,0,1,0,NA
"AUTOR",30,"Lo",9,8,2,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,3,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,4,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,5,1,2,1,1,1,0,4,1,4,0,NA
"AUTOR",30,"Lo",9,8,6,1,1,1,0,0,0,3,2,3,0,NA
"AUTOR",30,"Lo",9,8,7,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,8,0,1,1,1,2,0,2,1,2,0,NA
"AUTOR",30,"Lo",9,8,9,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,10,0,0,1,1,2,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,11,0,0,1,0,0,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,12,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,13,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",30,"Lo",9,8,14,1,0,0,0,0,0,2,0,1,1,"V"
"AUTOR",57,"VLo",10,8,1,0,0,1,1,1,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,2,0,1,0,0,0,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,3,0,0,1,1,3,0,1,1,1,0,NA
"AUTOR",57,"VLo",10,8,4,0,0,1,1,1,0,1,1,1,0,NA
