year,thesis,length,shoot1yo,length1yo,rank1yo,c,v,m,b,#oss,year,shoot1yo,rank1yo,#newshoots,dead buds
2020,AUTOR,Me,3,9,6,0,2,1,0,3,2021,3,6,2,-1
2020,AUTOR,VLo,4,48,1,0,1,0,0,1,2021,4,1,1,0
2020,AUTOR,VLo,4,48,2,0,1,0,0,1,2021,4,2,1,0
2020,AUTOR,VLo,4,48,3,0,1,0,0,1,2021,4,3,1,0
2020,AUTOR,VLo,4,48,4,0,1,0,0,1,2021,4,4,1,0
2020,AUTOR,VLo,4,48,5,0,0,1,0,1,2021,4,5,1,0
2020,AUTOR,VLo,4,48,6,0,0,1,0,1,2021,4,6,1,0
2020,AUTOR,VLo,4,48,7,0,1,0,0,1,2021,4,7,1,0
2020,AUTOR,VLo,4,48,8,0,1,0,0,1,2021,4,8,1,0
2020,AUTOR,VLo,4,48,9,0,1,0,0,1,2021,4,9,1,0
2020,AUTOR,VLo,4,48,10,0,1,0,0,1,2021,4,10,1,0
2020,AUTOR,VLo,4,48,11,0,1,0,0,1,2021,4,11,1,0
2020,AUTOR,VLo,4,48,12,0,1,0,0,1,2021,4,12,1,0
2020,AUTOR,VLo,4,48,13,0,1,0,0,1,2021,4,13,1,0
2020,AUTOR,VLo,4,48,14,0,1,0,0,1,2021,4,14,1,0
2020,AUTOR,VLo,4,48,15,0,1,0,0,1,2021,4,15,1,0
2020,AUTOR,VLo,4,48,16,0,1,0,0,1,2021,4,16,1,0
2020,AUTOR,VLo,4,48,17,0,3,0,0,3,2021,4,17,3,0
2020,AUTOR,VLo,5,41,1,0,1,0,0,1,2021,5,1,0,-1
2020,AUTOR,VLo,5,41,2,0,1,0,0,1,2021,5,2,0,-1
2020,AUTOR,VLo,5,41,3,0,2,0,0,2,2021,5,3,2,0
2020,AUTOR,VLo,5,41,4,0,0,1,0,1,2021,5,4,1,0
2020,AUTOR,VLo,5,41,5,4,2,1,0,4,2021,5,5,2,-2
2020,AUTOR,VLo,5,41,6,0,0,1,0,1,2021,5,6,1,0
2020,AUTOR,VLo,5,41,7,4,3,2,0,6,2021,5,7,2,-4
2020,AUTOR,VLo,5,41,8,4,0,1,0,2,2021,5,8,2,0
2020,AUTOR,VLo,5,41,9,0,1,1,0,2,2021,5,9,1,-1
2020,AUTOR,VLo,5,41,10,0,1,1,0,2,2021,5,10,1,-1
2020,AUTOR,VLo,5,41,11,0,0,1,0,1,2021,5,11,1,0
2020,AUTOR,VLo,5,41,12,0,0,1,0,1,2021,5,12,1,0
2020,AUTOR,VLo,5,41,13,4,3,0,0,4,2021,5,13,2,-2
2020,AUTOR,VLo,5,41,14,0,0,1,0,1,2021,5,14,1,0
2020,AUTOR,VLo,5,41,15,0,2,0,0,2,2021,5,15,2,0
2020,AUTOR,VLo,5,41,16,5,0,1,0,2,2021,5,16,1,-1
2020,AUTOR,Me,6,14,1,0,1,0,0,1,2021,6,1,1,0
2020,AUTOR,Me,6,14,2,0,0,0,1,1,2021,6,2,0,-1
2020,AUTOR,Me,6,14,3,5,2,0,0,3,2021,6,3,1,-2
2020,AUTOR,Me,6,14,4,3,0,2,0,3,2021,6,4,2,-1
2020,AUTOR,Me,6,14,5,0,0,1,0,1,2021,6,5,1,0
2020,AUTOR,Me,6,14,6,3,1,1,0,3,2021,6,6,2,-1
2020,AUTOR,VLo,7,43,1,0,0,1,0,1,2021,7,1,1,0
2020,AUTOR,VLo,7,43,2,0,0,0,1,1,2021,7,2,1,0
2020,AUTOR,VLo,7,43,3,0,2,0,0,2,2021,7,3,1,-1
2020,AUTOR,VLo,7,43,4,7,0,0,0,1,2021,7,4,1,0
2020,AUTOR,VLo,7,43,5,4,0,3,0,4,2021,7,5,2,-2
2020,AUTOR,VLo,7,43,6,0,1,1,0,2,2021,7,6,1,-1
2020,AUTOR,VLo,7,43,7,5,2,0,0,3,2021,7,7,1,-2
2020,AUTOR,VLo,7,43,8,5,1,1,0,3,2021,7,8,2,-1
2020,AUTOR,VLo,7,43,9,0,0,1,0,1,2021,7,9,0,-1
2020,AUTOR,VLo,7,43,10,0,0,1,0,1,2021,7,10,1,0
2020,AUTOR,VLo,7,43,11,0,0,1,0,1,2021,7,11,1,0
2020,AUTOR,VLo,7,43,12,0,0,1,0,1,2021,7,12,1,0
2020,AUTOR,VLo,7,43,13,0,1,0,0,1,2021,7,13,1,0
2020,AUTOR,VLo,7,43,14,0,3,0,0,3,2021,7,14,3,0
2020,AUTOR,Sh,8,3,1,0,1,0,0,1,2021,,,,
2020,AUTOR,Sh,8,3,2,0,0,1,0,1,2021,,,,
2020,AUTOR,Sh,8,3,3,2,3,0,0,4,2021,,,,
2020,AUTOR,Lo,9,30,1,0,1,0,0,1,2021,9,1,0,-1
2020,AUTOR,Lo,9,30,2,0,1,0,0,1,2021,9,2,1,0
2020,AUTOR,Lo,9,30,3,0,0,1,0,1,2021,9,3,1,0
2020,AUTOR,Lo,9,30,4,0,0,1,0,1,2021,9,4,1,0
2020,AUTOR,Lo,9,30,5,4,2,1,0,4,2021,9,5,1,-3
2020,AUTOR,Lo,9,30,6,4,1,1,0,3,2021,9,6,2,-1
2020,AUTOR,Lo,9,30,7,0,1,0,0,1,2021,9,7,1,0
2020,AUTOR,Lo,9,30,8,0,1,1,0,2,2021,9,8,1,-1
2020,AUTOR,Lo,9,30,9,0,0,1,0,1,2021,9,9,1,0
2020,AUTOR,Lo,9,30,10,0,0,1,0,1,2021,9,10,1,0
2020,AUTOR,Lo,9,30,11,0,0,1,0,1,2021,9,11,1,0
2020,AUTOR,Lo,9,30,12,0,1,0,0,1,2021,9,12,1,0
2020,AUTOR,Lo,9,30,13,0,1,0,0,1,2021,9,13,1,0
2020,AUTOR,Lo,9,30,14,5,1,0,0,2,2021,9,14,1,-1
2020,AUTOR,VLo,10,57,1,0,0,1,0,1,2021,10,1,1,0
2020,AUTOR,VLo,10,57,2,0,1,0,0,1,2021,10,2,1,0
2020,AUTOR,VLo,10,57,3,0,0,1,0,1,2021,10,3,1,0
2020,AUTOR,VLo,10,57,4,0,0,1,0,1,2021,10,4,1,0
2020,AUTOR,VLo,10,57,5,0,4,5,0,9,2021,10,5,3,-6
2020,AUTOR,VLo,10,57,6,0,1,0,0,1,2021,10,6,1,0
2020,AUTOR,VLo,10,57,7,0,0,1,0,1,2021,10,7,1,0
2020,AUTOR,VLo,10,57,8,0,0,1,0,1,2021,10,8,0,-1
2020,AUTOR,VLo,10,57,9,0,0,1,0,1,2021,10,9,1,0
2020,AUTOR,VLo,10,57,10,0,0,1,0,1,2021,10,10,1,0
2020,AUTOR,VLo,10,57,11,0,0,1,0,1,2021,10,11,1,0
2020,AUTOR,VLo,10,57,12,0,1,0,0,1,2021,10,12,1,0
2020,AUTOR,VLo,10,57,13,0,0,1,0,1,2021,10,13,1,0
2020,AUTOR,VLo,10,57,14,0,0,1,0,1,2021,10,14,1,0
2020,AUTOR,Sh,11,2.31,1,0,1,0,0,1,2021,11,1,1,0
2020,AUTOR,Sh,11,2.31,2,4,2,0,0,3,2021,11,2,1,-2
2020,AUTOR,VLo,12,48,1,0,1,0,0,1,2021,12,1,1,0
2020,AUTOR,VLo,12,48,2,0,1,0,0,1,2021,12,2,1,0
2020,AUTOR,VLo,12,48,3,0,1,1,0,2,2021,12,3,1,-1
2020,AUTOR,VLo,12,48,4,0,0,1,0,1,2021,12,4,1,0
2020,AUTOR,VLo,12,48,5,3,4,1,0,6,2021,12,5,2,-4
2020,AUTOR,VLo,12,48,6,4,0,3,0,4,2021,12,6,1,-3
2020,AUTOR,VLo,12,48,7,0,0,1,0,1,2021,12,7,1,0
2020,AUTOR,VLo,12,48,8,5,1,1,0,3,2021,12,8,2,-1
2020,AUTOR,VLo,12,48,9,0,0,1,0,1,2021,12,9,1,0
2020,AUTOR,VLo,12,48,10,0,1,0,0,1,2021,12,10,1,0
2020,AUTOR,VLo,12,48,11,0,0,1,0,1,2021,12,11,1,0
2020,AUTOR,VLo,12,48,12,0,0,1,0,1,2021,12,12,1,0
2020,AUTOR,VLo,12,48,13,0,0,1,0,1,2021,12,13,1,0
2020,AUTOR,VLo,12,48,14,0,0,1,0,1,2021,12,14,1,0
2020,AUTOR,VLo,12,48,15,0,2,1,0,3,2021,12,15,1,-2
2020,AUTOR,Lo,13,37.5,1,0,1,0,0,1,2021,13,1,0,-1
2020,AUTOR,Lo,13,37.5,2,4,1,3,0,5,2021,13,2,1,-4
2020,AUTOR,Lo,13,37.5,3,0,0,1,0,1,2021,13,3,2,1
2020,AUTOR,Lo,13,37.5,4,0,0,1,0,1,2021,13,4,1,0
2020,AUTOR,Lo,13,37.5,5,0,0,1,0,1,2021,13,5,1,0
2020,AUTOR,Lo,13,37.5,6,0,1,0,0,1,2021,13,6,1,0
2020,AUTOR,Lo,13,37.5,7,0,1,0,0,1,2021,13,7,1,0
2020,AUTOR,Lo,13,37.5,8,0,1,0,0,1,2021,13,8,1,0
2020,AUTOR,Lo,13,37.5,9,0,1,0,0,1,2021,13,9,1,0
2020,AUTOR,Lo,13,37.5,10,0,0,1,0,1,2021,13,10,1,0
2020,AUTOR,Lo,13,37.5,11,0,1,0,0,1,2021,13,11,1,0
2020,AUTOR,Lo,13,37.5,12,0,1,0,0,1,2021,13,12,1,0
2020,AUTOR,Lo,13,37.5,13,0,1,0,0,1,2021,13,13,1,0
2020,AUTOR,Lo,13,37.5,14,0,1,0,0,1,2021,13,14,1,0
2020,AUTOR,Lo,13,37.5,15,0,1,0,0,1,2021,13,15,1,0
2020,AUTOR,VLo,14,45.4,1,0,1,0,0,1,2021,14,1,0,-1
2020,AUTOR,VLo,14,45.4,2,0,0,1,0,1,2021,14,2,1,0
2020,AUTOR,VLo,14,45.4,3,0,1,0,0,1,2021,14,3,0,-1
2020,AUTOR,VLo,14,45.4,4,4,1,3,0,5,2021,14,4,2,-3
2020,AUTOR,VLo,14,45.4,5,0,0,1,0,1,2021,14,5,1,0
2020,AUTOR,VLo,14,45.4,6,0,0,1,0,1,2021,14,6,1,0
2020,AUTOR,VLo,14,45.4,7,0,0,1,0,1,2021,14,7,1,0
2020,AUTOR,VLo,14,45.4,8,0,0,1,0,1,2021,14,8,1,0
2020,AUTOR,VLo,14,45.4,9,0,0,1,0,1,2021,14,9,1,0
2020,AUTOR,VLo,14,45.4,10,0,0,1,0,1,2021,14,10,1,0
2020,AUTOR,VLo,14,45.4,11,0,0,1,0,1,2021,14,11,1,0
2020,AUTOR,VLo,14,45.4,12,0,0,1,0,1,2021,14,12,1,0
2020,AUTOR,VLo,14,45.4,13,0,0,1,0,1,2021,14,13,1,0
2020,AUTOR,VLo,14,45.4,14,0,1,0,0,1,2021,14,14,1,0
2020,AUTOR,VLo,14,45.4,15,0,1,0,0,1,2021,14,15,1,0
2020,AUTOR,VLo,14,45.4,16,0,1,0,0,1,2021,14,16,1,0
2020,AUTOR,VLo,14,45.4,17,0,2,0,0,2,2021,14,17,1,-1
2020,AUTOR,VLo,15,44,1,0,1,0,0,1,2021,15,1,0,-1
2020,AUTOR,VLo,15,44,2,0,1,0,0,1,2021,15,2,1,0
2020,AUTOR,VLo,15,44,3,0,1,0,0,1,2021,15,3,1,0
2020,AUTOR,VLo,15,44,4,0,1,1,0,2,2021,15,4,2,0
2020,AUTOR,VLo,15,44,5,2,0,4,0,5,2021,15,5,2,-3
2020,AUTOR,VLo,15,44,6,2,1,2,0,4,2021,15,6,2,-2
2020,AUTOR,VLo,15,44,7,0,0,1,0,1,2021,15,7,1,0
2020,AUTOR,VLo,15,44,8,5,2,1,0,4,2021,15,8,2,-2
2020,AUTOR,VLo,15,44,9,0,0,1,0,1,2021,15,9,1,0
2020,AUTOR,VLo,15,44,10,0,0,1,0,1,2021,15,10,1,0
2020,AUTOR,VLo,15,44,11,0,0,1,0,1,2021,15,11,1,0
2020,AUTOR,VLo,15,44,12,0,0,1,0,1,2021,15,12,1,0
2020,AUTOR,VLo,15,44,13,0,0,1,0,1,2021,15,13,1,0
2020,AUTOR,VLo,15,44,14,0,1,0,0,1,2021,15,14,1,0
2020,AUTOR,VLo,15,44,15,0,1,0,0,1,2021,15,15,1,0
2020,AUTOR,VLo,15,44,16,0,2,0,0,2,2021,15,16,1,-1
2020,AUTOR,Lo,16,33,1,0,0,0,1,1,2021,16,1,1,0
2020,AUTOR,Lo,16,33,2,0,0,0,1,1,2021,16,2,1,0
2020,AUTOR,Lo,16,33,3,0,1,0,0,1,2021,16,3,1,0
2020,AUTOR,Lo,16,33,4,0,1,0,0,1,2021,16,4,1,0
2020,AUTOR,Lo,16,33,5,0,1,0,0,1,2021,16,5,3,2
2020,AUTOR,Lo,16,33,6,0,0,1,0,1,2021,16,6,2,1
2020,AUTOR,Lo,16,33,7,4,0,5,0,6,2021,16,7,1,-5
2020,AUTOR,Lo,16,33,8,3,2,0,0,3,2021,16,8,2,-1
2020,AUTOR,Lo,16,33,9,5,2,0,0,3,2021,16,9,1,-2
2020,AUTOR,Lo,16,33,10,1,2,0,0,3,2021,16,10,1,-2
2020,AUTOR,Lo,16,33,11,5,2,0,0,3,2021,16,11,2,-1
2020,AUTOR,Lo,16,33,12,0,0,1,0,1,2021,16,12,1,0
