tesi,Length,class,shoot,Tree,node,c,v,m,cl,nu,b,tot_buds,found_next_yea,n_lateral_buds,n_apical_buds,type_apicals
AUTOR,10,Me,65,9,6,2,0,9,0,0,3,14,YES,13,1,M
AUTOR,58,VLo,66,9,19,1,6,12,10,41,5,24,YES,23,1,V
AUTOR,26.5,Lo,67,9,12,3,7,8,6,19,2,20,YES,19,1,M
AUTOR,26.5,Lo,68,9,13,3,6,7,4,13,3,19,YES,18,1,V
AUTOR,6.5,Me,69,9,4,2,2,4,1,1,1,9,YES,8,1,V
AUTOR,42,VLo,70,10,16,4,15,8,6,19,3,30,YES,29,1,M
AUTOR,5,Sh,71,10,5,3,3,5,1,4,0,11,YES,10,1,M
AUTOR,3,Sh,72,10,3,1,4,0,0,0,0,5,YES,4,1,V
AUTOR,38.5,Lo,73,10,15,2,8,11,0,0,1,22,YES,21,1,M
AUTOR,14.5,Me,74,10,7,3,4,5,0,0,3,15,YES,14,1,V
AUTOR,35.5,Lo,75,10,16,4,18,3,0,0,1,26,YES,25,1,V
AUTOR,13.5,Me,76,10,8,3,5,6,1,3,2,16,YES,15,1,M
AUTOR,28,Lo,77,10,17,5,10,5,5,14,4,24,YES,23,1,C
AUTOR,14,Me,78,10,7,2,1,5,3,6,3,11,YES,10,1,M
AUTOR,22,Lo,79,10,10,4,4,9,5,15,3,20,YES,19,1,M
AUTOR,38,Lo,80,10,12,6,7,13,5,11,1,27,YES,26,1,V
AUTOR,66.5,VLo,83,10,18,5,22,10,4,12,0,37,YES,36,1,V
AUTOR,16,Me,84,10,8,2,2,3,0,0,4,11,YES,10,1,M
AUTOR,22.5,Lo,85,10,7,3,2,4,1,2,4,13,YES,12,1,C
AUTOR,45,VLo,86,10,14,4,12,12,1,6,0,28,YES,27,1,V
AUTOR,4.5,Sh,88,10,4,1,3,1,1,2,1,6,YES,5,1,M
AUTOR,41,VLo,90,10,19,9,14,11,4,10,1,35,YES,34,1,C
AUTOR,2,Sh,91,10,2,1,4,0,0,0,0,5,YES,4,1,V
AUTOR,18,Me,92,10,7,2,7,5,1,2,2,16,YES,15,1,V
AUTOR,4,Sh,93,10,5,1,2,2,0,0,3,8,YES,7,1,M
AUTOR,3,Sh,94,10,4,0,3,1,0,0,1,5,YES,4,1,V
AUTOR,43.5,VLo,95,10,16,4,10,16,10,26,3,33,YES,32,1,M
AUTOR,26,Lo,97,10,9,4,4,6,4,8,2,16,YES,15,1,M
AUTOR,2.5,Sh,99,10,1,1,1,0,0,0,0,2,YES,1,1,V
AUTOR,72,VLo,100,10,23,2,23,8,1,1,1,34,YES,33,1,V
AUTOR,10,Me,102,10,7,2,6,2,0,0,1,11,YES,10,1,C
AUTOR,2.5,Sh,103,10,4,1,0,4,1,3,2,7,YES,6,1,M
AUTOR,33,Lo,104,10,12,0,6,9,6,20,0,15,YES,14,1,M
AUTOR,3.5,Sh,106,10,4,1,3,1,0,0,1,6,YES,5,1,V
AUTOR,30,Lo,107,10,13,2,8,11,4,14,1,22,YES,21,1,M
AUTOR,5.5,Me,109,10,5,2,6,2,0,0,1,11,YES,10,1,C
AUTOR,33,Lo,110,9,16,3,6,11,4,13,3,23,YES,22,1,V
AUTOR,43,VLo,111,9,20,3,11,8,5,14,4,26,YES,25,1,C
AUTOR,4.8,Sh,115,9,4,2,3,2,1,2,0,7,YES,6,1,V
AUTOR,38.5,Lo,116,9,13,2,4,10,7,23,1,17,YES,16,1,V
AUTOR,43.5,VLo,117,9,18,2,13,12,6,17,0,27,YES,26,1,V
AUTOR,2,Sh,118,9,2,0,3,2,0,0,0,5,YES,4,1,V
