year,thesis,length,shoot1yo,length1yo,rank1yo,c,v,m,b,#oss,#newshoots
2020,AUTOR,Lo,9,30,14,5,1,0,0,2,1
2020,AUTOR,VLo,10,57,1,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,2,0,1,0,0,1,1
2020,AUTOR,VLo,10,57,3,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,4,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,5,0,4,5,0,9,3
2020,AUTOR,VLo,10,57,6,0,1,0,0,1,1
2020,AUTOR,VLo,10,57,7,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,8,0,0,1,0,1,0
2020,AUTOR,VLo,10,57,9,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,10,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,11,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,12,0,1,0,0,1,1
2020,AUTOR,VLo,10,57,13,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,14,0,0,1,0,1,1
2020,AUTOR,Sh,11,2.31,1,0,1,0,0,1,1
2020,AUTOR,Sh,11,2.31,2,4,2,0,0,3,1
2020,AUTOR,VLo,12,48,1,0,1,0,0,1,1
2020,AUTOR,VLo,12,48,2,0,1,0,0,1,1
2020,AUTOR,VLo,12,48,3,0,1,1,0,2,1
2020,AUTOR,VLo,12,48,4,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,5,3,4,1,0,6,2
2020,AUTOR,VLo,12,48,6,4,0,3,0,4,1
2020,AUTOR,VLo,12,48,7,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,8,5,1,1,0,3,2
2020,AUTOR,VLo,12,48,9,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,10,0,1,0,0,1,1
2020,AUTOR,VLo,12,48,11,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,12,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,13,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,14,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,15,0,2,1,0,3,1
2020,AUTOR,Lo,13,37.5,1,0,1,0,0,1,0
2020,AUTOR,Lo,13,37.5,2,4,1,3,0,5,1
2020,AUTOR,Lo,13,37.5,3,0,0,1,0,1,2
2020,AUTOR,Lo,13,37.5,4,0,0,1,0,1,1
2020,AUTOR,Lo,13,37.5,5,0,0,1,0,1,1
2020,AUTOR,Lo,13,37.5,6,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,7,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,8,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,9,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,10,0,0,1,0,1,1
