note,#ID,date,tesi,Fila,pianta,shoot,length (cm),diametro (mm),type,#nodes,internodo(cm),Amenti,Legno,Miste,cluster,nuts,Cieche,#osserv,oss/node,nut set,%M,%L,%A,%C,,,,,,
,45,2020,inne,3,5,45,10.2,3.58,Me,7,1.46,5,6,5,2,4,3,19,2.71,80%,26%,32%,26%,16%,,,,,,
,46,2020,inne,3,5,46,6.1,2.53,Me,5,1.22,4,2,3,1,2,1,10,2.00,67%,30%,20%,40%,10%,,,,,,
,47,2020,inne,3,5,47,28,4.24,Lo,11,2.55,8,8,7,2,8,2,25,2.27,114%,28%,32%,32%,8%,,,,,,
,48,2020,inne,3,5,48,7,2.69,Me,5,1.40,5,0,2,0,0,3,10,2.00,0%,20%,0%,50%,30%,,,,,,
,49,2020,inne,3,5,49,20,3.93,Me,9,2.22,12,4,5,2,4,3,24,2.67,80%,21%,17%,50%,13%,,,,,,
,50,2020,inne,3,4,50,28.5,5.05,Lo,11,2.59,9,10,4,0,0,3,26,2.36,0%,15%,38%,35%,12%,,,,,,
,51,2020,inne,3,4,51,28,4.77,Lo,11,2.55,10,15,3,1,1,0,28,2.55,33%,11%,54%,36%,0%,,,,,,
,52,2020,inne,3,4,52,16,4.32,Me,8,2.00,4,9,2,1,3,2,17,2.13,150%,12%,53%,24%,12%,,,,,,
,53,2020,inne,3,4,53,27,5.63,Lo,12,2.25,13,7,12,8,21,2,34,2.83,175%,35%,21%,38%,6%,,,,,,
,54,2020,inne,3,4,54,33,5.64,Lo,14,2.36,16,12,7,4,5,0,35,2.50,71%,20%,34%,46%,0%,,,,,,
,55,2020,inne,3,4,55,24.8,4.46,Lo,15,1.65,9,8,7,0,0,3,27,1.80,0%,26%,30%,33%,11%,,,,,,
,56,2020,inne,3,4,56,3,2.33,Sh,4,0.75,1,2,0,0,0,1,4,1.00,,0%,50%,25%,25%,,,,,,
,57,2020,inne,3,4,57,8,3.22,Me,4,2.00,4,0,3,0,0,2,9,2.25,0%,33%,0%,44%,22%,,,,,,
,58,2020,inne,3,4,58,31,5.41,Lo,13,2.38,7,13,1,0,0,3,24,1.85,0%,4%,54%,29%,13%,,,,,,
,59,2020,inne,3,4,59,24.5,4.89,Lo,10,2.45,2,9,4,1,2,2,17,1.70,50%,24%,53%,12%,12%,,,,,,
,60,2020,inne,3,4,60,3,2.81,Sh,3,1.00,0,3,0,0,0,0,3,1.00,,0%,100%,0%,0%,,,,,,
,61,2020,inne,3,4,61,24,4.3,Lo,10,2.40,8,5,4,3,9,4,21,2.10,225%,19%,24%,38%,19%,,,,,,
,62,2020,inne,3,4,62,24,4.73,Lo,10,2.40,9,9,3,1,2,1,22,2.20,67%,14%,41%,41%,5%,,,,,,
,63,2020,inne,3,4,63,6,2.97,Me,6,1.00,6,2,5,2,4,4,17,2.83,80%,29%,12%,35%,24%,,,,,,
