note,#ID,date,tesi,Fila,pianta,shoot,length (cm),diametro (mm),type,#nodes,internodo(cm),Amenti,Legno,Miste,cluster,nuts,Cieche,#osserv,oss/node,nut set,%M,%L,%A,%C,,,,,,
,191,2020,auto,3,10,71,5,3.6,Sh,5,1.00,5,3,5,1,4,0,13,2.60,80%,38%,23%,38%,0%,,,,,,
,192,2020,auto,3,10,72,3,2.3,Sh,3,1.00,4,4,0,0,0,0,8,2.67,,0%,50%,50%,0%,,,,,,
,193,2020,auto,3,10,73,38.5,6.64,Lo,15,2.57,5,8,11,0,0,1,25,1.67,0%,44%,32%,20%,4%,,,,,,
,194,2020,auto,3,10,74,14.5,3.54,Me,7,2.07,8,4,5,0,0,3,20,2.86,0%,25%,20%,40%,15%,,,,,,
,195,2020,auto,3,10,75,35.5,6.7,Lo,16,2.22,10,18,3,0,0,1,32,2.00,0%,9%,56%,31%,3%,,,,,,
,196,2020,auto,3,10,76,13.5,4,Me,8,1.69,11,5,6,1,3,2,24,3.00,50%,25%,21%,46%,8%,,,,,,
,197,2020,auto,3,10,77,28,4.48,Lo,17,1.65,18,10,5,5,14,4,37,2.18,280%,14%,27%,49%,11%,,,,,,
,198,2020,auto,3,10,78,14,3.5,Me,7,2.33,9,1,5,3,6,4,19,2.71,120%,26%,5%,47%,21%,,,,,,
,199,2020,auto,3,10,79,22,4.5,Lo,10,2.20,14,4,9,5,15,3,30,3.00,167%,30%,13%,47%,10%,,,,,,
,200,2020,auto,3,10,80,38,5.52,Lo,12,3.17,15,7,13,5,11,1,36,3.00,85%,36%,19%,42%,3%,,,,,,
,201,2020,auto,3,10,81,6,2.32,Me,4,1.50,3,1,0,0,0,0,4,1.00,,0%,25%,75%,0%,,,,,,
,202,2020,auto,3,10,82,1,1.86,Sh,2,0.50,1,0,1,0,0,0,2,1.00,0%,50%,0%,50%,0%,,,,,,
,203,2020,auto,3,10,83,66.5,8.16,VLo,18,3.69,17,22,10,4,12,0,49,2.72,120%,20%,45%,35%,0%,,,,,,
,204,2020,auto,3,10,84,16,4.34,Me,8,2.00,3,2,3,0,0,4,12,1.50,0%,25%,17%,25%,33%,,,,,,
,205,2020,auto,3,10,85,22.5,4.8,Lo,7,3.21,12,2,4,1,2,4,22,3.14,50%,18%,9%,55%,18%,,,,,,
,206,2020,auto,3,10,86,45,6.74,VLo,14,3.21,10,12,12,1,6,0,34,2.43,50%,35%,35%,29%,0%,,,,,,
,207,2020,auto,3,10,87,25,4.24,Lo,12,2.08,20,8,10,4,7,5,43,3.58,70%,23%,19%,47%,12%,,,,,,
,208,2020,auto,3,10,88,4.5,2.5,Sh,4,1.13,1,3,1,1,2,1,6,1.50,200%,17%,50%,17%,17%,,,,,,
,209,2020,auto,3,10,89,27,5.38,Lo,10,2.70,30,7,9,0,0,3,49,4.90,0%,18%,14%,61%,6%,,,,,,
,210,2020,auto,3,10,90,41,6.74,VLo,19,2.16,28,14,11,4,10,1,54,2.84,91%,20%,26%,52%,2%,,,,,,
,211,2020,auto,3,10,91,2,1.8,Sh,2,1.00,2,4,0,0,0,0,6,3.00,,0%,67%,33%,0%,,,,,,
,212,2020,auto,3,10,92,18,4.06,Me,7,2.57,8,7,5,1,2,2,22,3.14,40%,23%,32%,36%,9%,,,,,,
,213,2020,auto,3,10,93,4,2.12,Sh,5,0.80,2,2,2,0,0,3,9,1.80,0%,22%,22%,22%,33%,,,,,,
,214,2020,auto,3,10,94,3,2.84,Sh,4,0.75,0,3,1,0,0,1,5,1.25,0%,20%,60%,0%,20%,,,,,,
,215,2020,auto,3,10,95,43.5,6.9,VLo,16,2.72,19,10,16,10,26,3,48,3.00,163%,33%,21%,40%,6%,,,,,,
,216,2020,auto,3,10,96,2.5,2.3,Sh,3,0.83,3,0,2,0,0,1,6,2.00,0%,33%,0%,50%,17%,,,,,,
,217,2020,auto,3,10,97,26,4.54,Lo,9,2.89,13,4,6,4,8,3,26,2.89,133%,23%,15%,50%,12%,,,,,,
,218,2020,auto,3,10,98,16,3.3,Me,7,2.29,7,2,7,0,0,3,19,2.71,0%,37%,11%,37%,16%,,,,,,
,219,2020,auto,3,10,99,2.5,1.14,Sh,1,2.50,2,1,0,0,0,0,3,3.00,,0%,33%,67%,0%,,,,,,
,220,2020,auto,3,10,100,72,9.3,VLo,23,3.13,4,23,8,1,1,1,36,1.57,13%,22%,64%,11%,3%,,,,,,
,221,2020,auto,3,10,101,32,5.5,Lo,11,2.91,27,9,7,0,0,1,44,4.00,0%,16%,20%,61%,2%,,,,,,
,222,2020,auto,3,10,102,10,3.86,Me,7,1.43,7,6,2,0,0,1,16,2.29,0%,13%,38%,44%,6%,,,,,,
,223,2020,auto,3,10,103,2.5,3.46,Sh,4,0.63,1,0,4,1,3,2,7,1.75,75%,57%,0%,14%,29%,,,,,,
,224,2020,auto,3,10,104,33,5.1,Lo,12,2.75,0,6,9,6,20,0,15,1.25,222%,60%,40%,0%,0%,,,,,,
,225,2020,auto,3,10,105,2.5,2.94,Sh,3,0.83,3,2,2,0,0,0,7,2.33,0%,29%,29%,43%,0%,,,,,,
,226,2020,auto,3,10,106,3.5,2.8,Sh,4,0.88,4,3,1,0,0,1,9,2.25,0%,11%,33%,44%,11%,,,,,,
,227,2020,auto,3,10,107,30,5.24,Lo,13,2.31,8,8,11,4,14,1,28,2.15,127%,39%,29%,29%,4%,,,,,,
,228,2020,auto,3,10,108,25,4.46,Lo,13,1.92,6,11,8,0,0,0,25,1.92,0%,32%,44%,24%,0%,,,,,,
,229,2020,auto,3,10,109,5.5,3.08,Me,5,1.10,6,6,2,0,0,1,15,3.00,0%,13%,40%,40%,7%,,,,,,
,230,2020,auto,3,9,110,33,4.78,Lo,17,1.94,4,6,11,4,13,3,24,1.41,118%,46%,25%,17%,13%,,,,,,
,231,2020,auto,3,9,111,43,5.38,VLo,20,2.15,10,11,8,5,14,4,33,1.65,175%,24%,33%,30%,12%,,,,,,
,232,2020,auto,3,9,112,10.5,3.2,Me,7,1.50,5,4,4,0,0,4,17,2.43,0%,24%,24%,29%,24%,,,,,,
,233,2020,auto,3,9,113,1.5,1.96,Sh,1,1.50,4,1,0,0,0,0,5,5.00,,0%,20%,80%,0%,,,,,,
,234,2020,auto,3,9,114,2,1.94,Sh,2,1.00,0,1,1,0,0,0,2,1.00,0%,50%,50%,0%,0%,,,,,,
,235,2020,auto,3,9,115,4.8,4.14,Sh,4,1.20,3,3,2,1,2,0,8,2.00,100%,25%,38%,38%,0%,,,,,,
,236,2020,auto,3,9,116,38.5,5.5,Lo,13,2.96,5,4,10,7,23,1,20,1.54,230%,50%,20%,25%,5%,,,,,,
,237,2020,auto,3,9,117,43.5,6.4,VLo,18,2.42,6,13,12,6,17,0,31,1.72,142%,39%,42%,19%,0%,,,,,,
,238,2020,auto,3,9,118,2,2.1,Sh,2,1.00,0,3,2,0,0,0,5,2.50,0%,40%,60%,0%,0%,,,,,,
,239,2020,auto,3,9,119,7,2.38,Me,6,1.17,2,3,2,0,0,0,7,1.17,0%,29%,43%,29%,0%,,,,,,
,240,2020,auto,3,9,120,40.5,6.46,VLo,16,2.53,7,8,15,0,0,0,30,1.88,0%,50%,27%,23%,0%,31%,30%,32%,7%,21,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
