"tesi","Length","Diam","class","shoot","Tree","Length.node.","rank_node","normal_distance","median_distance","distance_abs","c","v","m","cl","nu","b","tot_buds","fate","new_shoots","from_","length2yo.cm.","length.newshoots","X.nodes2yo","c.1","v.1","m.1","cic.1","cl.1","B.1"
"AUTOR",40,6.22,"Lo",2,8,14,7,0.04,-0.5,0.5,1,2,2,0,0,0,6,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",40,6.22,"Lo",2,8,14,7,0.04,-0.5,0.5,1,2,2,0,0,0,6,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",40,6.22,"Lo",2,8,14,7,0.04,-0.5,0.5,1,3,1,0,0,0,6,"M",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",40,6.22,"Lo",2,8,14,7,0.04,-0.5,0.5,1,3,1,0,0,0,6,"M",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",40,6.22,"Lo",2,8,14,8,0.04,0.5,0.5,0,0,0,1,4,0,1,"M",1,"PROL",2,"Sh",3,0,1,1,0,0,1
"AUTOR",40,6.22,"Lo",2,8,14,9,0.11,1.5,1.5,1,0,0,0,0,0,2,"V",1,"SYL",4,"Sh",1,0,0,0,1,0,0
"AUTOR",40,6.22,"Lo",2,8,14,9,0.11,1.5,1.5,0,1,0,0,0,0,2,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",40,6.22,"Lo",2,8,14,10,0.18,2.5,2.5,0,0,0,1,3,0,1,"M",1,"PROL",2,"Sh",1,0,0,0,1,0,0
"AUTOR",40,6.22,"Lo",2,8,14,11,0.25,3.5,3.5,1,1,0,0,0,0,3,"V",1,"SYL",2,"Sh",3,0,2,0,1,0,0
"AUTOR",40,6.22,"Lo",2,8,14,11,0.25,3.5,3.5,0,2,0,0,0,0,3,"C",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",40,6.22,"Lo",2,8,14,11,0.25,3.5,3.5,1,1,0,0,0,0,3,"V",0,"SYL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUTOR",40,6.22,"Lo",2,8,14,12,0.32,4.5,4.5,0,0,0,1,4,0,1,"M",1,"PROL",3.5,"Sh",1,0,0,0,1,0,0
"AUTOR",40,6.22,"Lo",2,8,14,13,0.39,5.5,5.5,0,0,0,1,5,0,1,"M",1,"PROL",2.5,"Sh",1,0,0,0,1,0,0
"AUTOR",40,6.22,"Lo",2,8,14,14,0.46,6.5,6.5,0,0,0,0,0,0,1,"M",1,"PROL",4,"Sh",1,0,0,0,1,0,0
