tesi,unit,length,unit_2,diam,class,shoot_ID,tree,Length(node),rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,48,mm,7.43,VLo,4,8,17,7,-2,-0.1,0.12,2,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,8,-1,-0.1,0.06,1,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,9,0,0,0,0,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,10,1,0.1,0.06,1,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,11,2,0.1,0.12,2,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,12,3,0.2,0.18,3,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,13,4,0.2,0.24,4,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,14,5,0.3,0.29,5,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,15,6,0.4,0.35,6,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,16,7,0.4,0.41,7,0,1,0,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,48,mm,7.43,VLo,4,8,17,17,8,0.5,0.47,8,0,3,0,0,0,0,3,3,PROLEPTIC,3,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,1,-8,-0.5,0.47,8,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,2,-7,-0.4,0.41,7,0,1,0,0,0,0,1,1,PROLEPTIC,0,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,3,-6,-0.4,0.35,6,0,2,0,0,0,0,2,2,PROLEPTIC,2,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,4,-5,-0.3,0.29,5,0,0,1,1,1,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,5,-4,-0.2,0.24,4,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,41,mm,7.17,VLo,5,8,17,6,-3,-0.2,0.18,3,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,7,-2,-0.1,0.12,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,2,5
AUTOR,cm,41,mm,7.17,VLo,5,8,17,8,-1,-0.1,0.06,1,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,0,1,1
AUTOR,cm,41,mm,7.17,VLo,5,8,17,9,0,0,0,0,0,1,1,1,4,0,2,2,PROLEPTIC,1,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,10,1,0.1,0.06,1,0,1,1,1,4,0,2,2,PROLEPTIC,1,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,11,2,0.1,0.12,2,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,12,3,0.2,0.18,3,0,0,1,1,3,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,13,4,0.2,0.24,4,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,41,mm,7.17,VLo,5,8,17,14,5,0.3,0.29,5,0,0,1,0,0,0,1,1,PROLEPTIC,1,,,,
AUTOR,cm,41,mm,7.17,VLo,5,8,17,15,6,0.4,0.35,6,0,2,0,0,0,0,2,2,PROLEPTIC,2,,,,
