tesi,unit,parent_length_cm,unit_2,diam,class,shoot_ID,tree,parent_length_node,parent_rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,14,mm,3.5,Me,78,10,8,7,2.5,0.3,0.31,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,1,1
AUTOR,cm,22,mm,4.5,Lo,79,10,10,5,-0.5,0,0.05,0.5,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,0,1,1
AUTOR,cm,22,mm,4.5,Lo,79,10,10,6,0.5,0,0.05,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,3,5
AUTOR,cm,22,mm,4.5,Lo,79,10,10,7,1.5,0.1,0.15,1.5,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,22,mm,4.5,Lo,79,10,10,9,3.5,0.3,0.35,3.5,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,38,mm,5.52,Lo,80,10,12,2,-4.5,-0.4,0.38,4.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,38,mm,5.52,Lo,80,10,12,3,-3.5,-0.3,0.29,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,38,mm,5.52,Lo,80,10,12,6,-0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,3,1,2,2,4
AUTOR,cm,38,mm,5.52,Lo,80,10,12,7,0.5,0,0.04,0.5,1,0,0,2,4,0,0,0,SYLLEPTIC,0,1,0,4,4
AUTOR,cm,38,mm,5.52,Lo,80,10,12,8,1.5,0.1,0.12,1.5,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,1,3,4
AUTOR,cm,38,mm,5.52,Lo,80,10,12,10,3.5,0.3,0.29,3.5,1,0,0,1,3,0,0,0,SYLLEPTIC,3,1,1,1,2
AUTOR,cm,66.5,mm,8.16,VLo,83,10,18,4,-5.5,-0.3,0.31,5.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,66.5,mm,8.16,VLo,83,10,18,5,-4.5,-0.2,0.25,4.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,66.5,mm,8.16,VLo,83,10,18,6,-3.5,-0.2,0.19,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,3,1,3,0,3
AUTOR,cm,66.5,mm,8.16,VLo,83,10,18,7,-2.5,-0.1,0.14,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,2,4
AUTOR,cm,66.5,mm,8.16,VLo,83,10,18,8,-1.5,-0.1,0.08,1.5,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,0,4,4
AUTOR,cm,16,mm,4.34,Me,84,10,8,6,1.5,0.2,0.19,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,16,mm,4.34,Me,84,10,8,7,2.5,0.3,0.31,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,22.5,mm,4.8,Lo,85,10,8,5,0.5,0.1,0.06,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,22.5,mm,4.8,Lo,85,10,8,6,1.5,0.2,0.19,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,22.5,mm,4.8,Lo,85,10,8,7,2.5,0.3,0.31,2.5,1,0,0,1,2,0,0,0,SYLLEPTIC,1,1,0,1,1
AUTOR,cm,45,mm,6.74,VLo,86,10,14,5,-2.5,-0.2,0.18,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,1,3
AUTOR,cm,45,mm,6.74,VLo,86,10,14,6,-1.5,-0.1,0.11,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,45,mm,6.74,VLo,86,10,14,7,-0.5,0,0.04,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,0,4,4
AUTOR,cm,45,mm,6.74,VLo,86,10,14,10,2.5,0.2,0.18,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,4.5,mm,2.5,Sh,88,10,4,3,0.5,0.1,0.12,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,0,2
AUTOR,cm,41,mm,6.74,VLo,90,10,19,5,-5,-0.3,0.26,5,1,0,0,2,5,0,0,0,SYLLEPTIC,1,1,4,1,5
AUTOR,cm,41,mm,6.74,VLo,90,10,19,6,-4,-0.2,0.21,4,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,41,mm,6.74,VLo,90,10,19,9,-1,-0.1,0.05,1,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,41,mm,6.74,VLo,90,10,19,10,0,0,0,0,1,0,0,1,2,0,0,0,SYLLEPTIC,3,1,2,1,3
AUTOR,cm,41,mm,6.74,VLo,90,10,19,11,1,0.1,0.05,1,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,41,mm,6.74,VLo,90,10,19,12,2,0.1,0.11,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,0,1
AUTOR,cm,41,mm,6.74,VLo,90,10,19,13,3,0.2,0.16,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,41,mm,6.74,VLo,90,10,19,18,8,0.4,0.42,8,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,41,mm,6.74,VLo,90,10,19,19,9,0.5,0.47,9,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,2,mm,1.8,Sh,91,10,3,2,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,2,0,2
AUTOR,cm,18,mm,4.06,Me,92,10,7,5,1,0.1,0.14,1,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,4,1,5
AUTOR,cm,18,mm,4.06,Me,92,10,7,6,2,0.3,0.29,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,3,4
AUTOR,cm,4,mm,2.12,Sh,93,10,5,4,1,0.2,0.2,1,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,43.5,mm,6.9,VLo,95,10,16,6,-2.5,-0.2,0.16,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,4,1,5,2,7
AUTOR,cm,43.5,mm,6.9,VLo,95,10,16,7,-1.5,-0.1,0.09,1.5,1,0,0,1,4,0,0,0,SYLLEPTIC,2,1,0,3,3
AUTOR,cm,43.5,mm,6.9,VLo,95,10,16,9,0.5,0,0.03,0.5,1,0,0,1,3,0,0,0,SYLLEPTIC,3,1,2,1,3
AUTOR,cm,43.5,mm,6.9,VLo,95,10,16,15,6.5,0.4,0.41,6.5,1,0,0,0,0,0,0,0,SYLLEPTIC,4,1,2,1,3
AUTOR,cm,26,mm,4.54,Lo,97,10,9,4,-1,-0.1,0.11,1,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,26,mm,4.54,Lo,97,10,9,5,0,0,0,0,1,0,0,2,4,0,0,0,SYLLEPTIC,1,1,1,3,4
AUTOR,cm,26,mm,4.54,Lo,97,10,9,6,1,0.1,0.11,1,1,0,0,1,2,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,26,mm,4.54,Lo,97,10,9,8,3,0.3,0.33,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,2.5,mm,1.14,Sh,99,10,2,1,-0.5,-0.2,0.25,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,72,mm,9.3,VLo,100,10,23,8,-4,-0.2,0.17,4,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,0,2
AUTOR,cm,72,mm,9.3,VLo,100,10,23,9,-3,-0.1,0.13,3,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,2,2,4
AUTOR,cm,10,mm,3.86,Me,102,10,8,4,-0.5,-0.1,0.06,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,1,2
AUTOR,cm,10,mm,3.86,Me,102,10,8,7,2.5,0.3,0.31,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,2.5,mm,3.46,Sh,103,10,5,4,1,0.2,0.2,1,1,0,0,1,3,0,0,0,SYLLEPTIC,1,1,0,2,2
AUTOR,cm,3.5,mm,2.8,Sh,106,10,5,4,1,0.2,0.2,1,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,1,1
AUTOR,cm,30,mm,5.24,Lo,107,10,13,5,-2,-0.2,0.15,2,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,30,mm,5.24,Lo,107,10,13,7,0,0,0,0,1,0,0,1,4,0,0,0,SYLLEPTIC,2,1,3,1,4
AUTOR,cm,5.5,mm,3.08,Me,109,10,6,3,-0.5,-0.1,0.08,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,5.5,mm,3.08,Me,109,10,6,5,1.5,0.2,0.25,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,33,mm,4.78,Lo,110,9,17,4,-5,-0.3,0.29,5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,3,0,3
AUTOR,cm,33,mm,4.78,Lo,110,9,17,5,-4,-0.2,0.24,4,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,33,mm,4.78,Lo,110,9,17,16,7,0.4,0.41,7,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,43,mm,5.38,VLo,111,9,20,7,-3.5,-0.2,0.17,3.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,2,0,2
AUTOR,cm,43,mm,5.38,VLo,111,9,20,8,-2.5,-0.1,0.12,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,2,2,4
AUTOR,cm,43,mm,5.38,VLo,111,9,20,19,8.5,0.4,0.42,8.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,4.8,mm,4.14,Sh,115,9,5,3,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,1,0,1
AUTOR,cm,4.8,mm,4.14,Sh,115,9,5,4,1,0.2,0.2,1,1,0,0,1,2,0,0,0,SYLLEPTIC,0,1,0,1,1
AUTOR,cm,38.5,mm,5.5,Lo,116,9,14,5,-2.5,-0.2,0.18,2.5,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,38.5,mm,5.5,Lo,116,9,14,13,5.5,0.4,0.39,5.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,43.5,mm,6.4,VLo,117,9,18,7,-2.5,-0.1,0.14,2.5,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,1,3,4
AUTOR,cm,43.5,mm,6.4,VLo,117,9,18,8,-1.5,-0.1,0.08,1.5,1,0,0,1,1,0,0,0,SYLLEPTIC,2,1,1,3,4
