tesi,unit,parent_length_cm,unit_2,diam,class,shoot_ID,tree,parent_length_node,parent_rank_node,median_distance,norm_median_distance,abs_norm_median_distance,abs_median_distance,sylleptic,v,m,cl,nu,b,tot_buds_mvb,tot_buds_mv,shoot_type,nb_new_shoots,c_syl,v_syl,m_syl,tot_buds_syl_m_v
AUTOR,cm,33,mm,6.4,Lo,16,8,15,14,6,0.4,0.4,6,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,0,0
AUTOR,cm,21,mm,4.23,Lo,17,8,8,5,0.5,0.1,0.06,0.5,1,0,0,1,2,0,0,0,SYLLEPTIC,2,1,1,2,3
AUTOR,cm,21,mm,4.23,Lo,17,8,8,7,2.5,0.3,0.31,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,1,0,1
AUTOR,cm,8.5,mm,3.69,Me,18,8,6,4,0.5,0.1,0.08,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,3,0,3
AUTOR,cm,8.5,mm,3.69,Me,18,8,6,5,1.5,0.2,0.25,1.5,1,0,0,0,0,0,0,0,SYLLEPTIC,0,1,0,2,2
AUTOR,cm,38,mm,6.22,Lo,19,8,15,5,-3,-0.2,0.2,3,1,0,0,0,0,0,0,0,SYLLEPTIC,2,1,2,1,3
AUTOR,cm,38,mm,6.22,Lo,19,8,15,8,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,3,0,3
AUTOR,cm,38,mm,6.22,Lo,19,8,15,10,2,0.1,0.13,2,1,0,0,1,3,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,11.8,mm,3.7,Me,21,8,6,4,0.5,0.1,0.08,0.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,3,0,3
AUTOR,cm,11.8,mm,3.7,Me,21,8,6,5,1.5,0.2,0.25,1.5,1,0,0,1,1,0,0,0,SYLLEPTIC,2,1,1,1,2
AUTOR,cm,2.5,mm,2.1,Sh,22,8,3,2,0,0,0,0,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,2.5,mm,2.1,Sh,22,8,3,3,1,0.3,0.33,1,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,0,0,0
AUTOR,cm,39,mm,5.6,Lo,23,8,14,5,-2.5,-0.2,0.18,2.5,1,0,0,0,0,0,0,0,SYLLEPTIC,1,1,5,0,5
