bud_id,year,shoot_id,length_cm,cat,nodes,rank,fate,clusters,nuts,new_length_cm,new_cat,new_nodes,simulation_nb
1967,2021,212,1.39,Sh,3,1,B,,,,,,461
1968,2021,212,1.39,Sh,3,2,S,0.0,0.0,,,,461
1969,2021,212,1.39,Sh,3,3,B,,,,,,461
1970,2021,213,3.52,Sh,2,1,B,,,,,,461
1971,2021,213,3.52,Sh,2,2,V,,,8.76,Me,8.0,461
1972,2021,214,2.61,Sh,3,1,V,,,2.53,Sh,2.0,461
1973,2021,214,2.61,Sh,3,2,V,,,1.18,Sh,2.0,461
1974,2021,214,2.61,Sh,3,2,M,0.0,0.0,1.67,Sh,3.0,461
1975,2021,214,2.61,Sh,3,2,M,0.0,0.0,0.03,Sh,3.0,461
1976,2021,214,2.61,Sh,3,3,B,,,,,,461
1977,2021,215,3.24,Sh,3,1,B,,,,,,461
1978,2021,215,3.24,Sh,3,2,B,,,,,,461
1979,2021,215,3.24,Sh,3,3,M,0.0,0.0,7.94,Me,7.0,461
1980,2021,215,3.24,Sh,3,3,M,0.0,0.0,6.79,Me,6.0,461
1981,2021,216,4.08,Sh,5,1,V,,,0.43,Sh,4.0,461
1982,2021,216,4.08,Sh,5,1,V,,,3.18,Sh,5.0,461
1983,2021,216,4.08,Sh,5,2,S,0.0,0.0,,,,461
1984,2021,216,4.08,Sh,5,3,M,0.0,0.0,2.48,Sh,3.0,461
1985,2021,216,4.08,Sh,5,3,M,1.0,3.0,4.57,Sh,4.0,461
1986,2021,216,4.08,Sh,5,4,S,0.0,0.0,,,,461
1987,2021,216,4.08,Sh,5,5,V,,,2.48,Sh,4.0,461
1988,2021,216,4.08,Sh,5,5,M,0.0,0.0,0.76,Sh,4.0,461
1989,2021,216,4.08,Sh,5,5,V,,,3.58,Sh,2.0,461
1990,2021,220,2.42,Sh,2,1,V,,,0.21,Sh,2.0,461
1991,2021,220,2.42,Sh,2,1,V,,,,,,461
1992,2021,220,2.42,Sh,2,1,V,,,0.61,Sh,1.0,461
1993,2021,220,2.42,Sh,2,1,M,0.0,0.0,1.08,Sh,4.0,461
1994,2021,220,2.42,Sh,2,2,S,0.0,0.0,,,,461
1995,2021,222,0.27,Sh,1,1,B,,,,,,461
1996,2021,223,2.21,Sh,3,1,B,,,,,,461
1997,2021,223,2.21,Sh,3,2,S,0.0,0.0,,,,461
1998,2021,223,2.21,Sh,3,3,M,1.0,3.0,3.69,Sh,2.0,461
1999,2021,223,2.21,Sh,3,3,V,,,8.12,Me,3.0,461
2000,2021,223,1.56,Sh,4,1,B,,,,,,461
2001,2021,223,1.56,Sh,4,2,B,,,,,,461
2002,2021,223,1.56,Sh,4,3,V,,,0.52,Sh,3.0,461
2003,2021,223,1.56,Sh,4,4,S,0.0,0.0,,,,461
2004,2021,224,2.43,Sh,3,1,V,,,0.28,Sh,1.0,461
2005,2021,224,2.43,Sh,3,1,V,,,1.34,Sh,3.0,461
2006,2021,224,2.43,Sh,3,2,V,,,5.01,Me,3.0,461
2007,2021,224,2.43,Sh,3,3,V,,,5.51,Me,5.0,461
