bud_id,year,shoot_id,length_cm,cat,nodes,rank,fate,clusters,nuts,new_length_cm,new_cat,new_nodes,simulation_nb
2068,2021,212,2.61,Sh,4,1,B,,,,,,481
2069,2021,212,2.61,Sh,4,2,S,0.0,0.0,,,,481
2070,2021,212,2.61,Sh,4,3,M,0.0,0.0,5.86,Me,4.0,481
2071,2021,212,2.61,Sh,4,4,B,,,,,,481
2072,2021,214,2.11,Sh,5,1,M,0.0,0.0,0.19,Sh,1.0,481
2073,2021,214,2.11,Sh,5,1,M,0.0,0.0,0.54,Sh,1.0,481
2074,2021,214,2.11,Sh,5,2,S,0.0,0.0,,,,481
2075,2021,214,2.11,Sh,5,3,V,,,1.94,Sh,3.0,481
2076,2021,214,2.11,Sh,5,3,V,,,1.78,Sh,2.0,481
2077,2021,214,2.11,Sh,5,4,M,0.0,0.0,6.03,Me,6.0,481
2078,2021,214,2.11,Sh,5,5,M,0.0,0.0,3.89,Sh,3.0,481
2079,2021,214,2.11,Sh,5,5,M,0.0,0.0,2.76,Sh,1.0,481
2080,2021,214,2.11,Sh,5,5,V,,,7.16,Me,5.0,481
2081,2021,215,2.19,Sh,2,1,V,,,2.17,Sh,6.0,481
2082,2021,215,2.19,Sh,2,2,S,0.0,0.0,,,,481
2083,2021,216,0.45,Sh,3,1,B,,,,,,481
2084,2021,216,0.45,Sh,3,2,S,0.0,0.0,,,,481
2085,2021,216,0.45,Sh,3,3,B,,,,,,481
2086,2021,216,1.19,Sh,3,1,B,,,,,,481
2087,2021,216,1.19,Sh,3,2,V,,,3.49,Sh,6.0,481
2088,2021,216,1.19,Sh,3,3,M,0.0,0.0,5.22,Me,7.0,481
2089,2021,217,3.88,Sh,5,1,B,,,,,,481
2090,2021,217,3.88,Sh,5,2,V,,,2.71,Sh,6.0,481
2091,2021,217,3.88,Sh,5,3,V,,,3.4,Sh,3.0,481
2092,2021,217,3.88,Sh,5,4,M,,,,,,481
2093,2021,217,3.88,Sh,5,5,M,1.0,6.0,5.85,Me,6.0,481
2094,2021,218,2.23,Sh,5,1,V,,,,,,481
2095,2021,218,2.23,Sh,5,1,V,,,1.57,Sh,1.0,481
2096,2021,218,2.23,Sh,5,2,V,,,1.4,Sh,3.0,481
2097,2021,218,2.23,Sh,5,2,V,,,2.9,Sh,2.0,481
2098,2021,218,2.23,Sh,5,3,S,0.0,0.0,,,,481
2099,2021,218,2.23,Sh,5,4,M,0.0,0.0,2.18,Sh,2.0,481
2100,2021,218,2.23,Sh,5,5,M,0.0,0.0,7.92,Me,5.0,481
2101,2021,219,4.29,Sh,5,1,B,,,,,,481
2102,2021,219,4.29,Sh,5,2,V,,,0.93,Sh,2.0,481
2103,2021,219,4.29,Sh,5,3,S,0.0,0.0,,,,481
2104,2021,219,4.29,Sh,5,4,V,,,4.66,Sh,5.0,481
2105,2021,219,4.29,Sh,5,5,S,0.0,0.0,,,,481
2106,2021,224,3.49,Sh,9,1,M,1.0,1.0,2.95,Sh,4.0,481
2107,2021,224,3.49,Sh,9,2,V,,,3.45,Sh,4.0,481
2108,2021,224,3.49,Sh,9,3,B,,,,,,481
2109,2021,224,3.49,Sh,9,4,S,0.0,0.0,,,,481
2110,2021,224,3.49,Sh,9,5,M,0.0,0.0,2.14,Sh,5.0,481
2111,2021,224,3.49,Sh,9,5,V,,,0.54,Sh,4.0,481
2112,2021,224,3.49,Sh,9,5,M,0.0,0.0,3.91,Sh,5.0,481
2113,2021,224,3.49,Sh,9,6,V,,,2.58,Sh,3.0,481
2114,2021,224,3.49,Sh,9,6,M,0.0,0.0,0.1,Sh,1.0,481
2115,2021,224,3.49,Sh,9,7,M,0.0,0.0,2.73,Sh,3.0,481
2116,2021,224,3.49,Sh,9,8,M,0.0,0.0,4.55,Sh,6.0,481
2117,2021,224,3.49,Sh,9,9,M,0.0,0.0,6.25,Me,2.0,481
2118,2021,224,3.49,Sh,9,9,M,0.0,0.0,6.56,Me,9.0,481
2119,2021,224,1.16,Sh,1,1,B,,,,,,481
2120,2021,225,8.83,Me,6,1,M,0.0,0.0,2.96,Sh,2.0,481
2121,2021,225,8.83,Me,6,2,B,,,,,,481
2122,2021,225,8.83,Me,6,3,S,0.0,0.0,,,,481
2123,2021,225,8.83,Me,6,4,M,1.0,5.0,5.62,Me,5.0,481
2124,2021,225,8.83,Me,6,4,V,,,0.05,Sh,1.0,481
2125,2021,225,8.83,Me,6,5,S,0.0,0.0,,,,481
2126,2021,225,8.83,Me,6,6,V,,,3.35,Sh,5.0,481
2127,2021,226,5.08,Me,3,1,B,,,,,,481
2128,2021,226,5.08,Me,3,2,S,0.0,0.0,,,,481
2129,2021,226,5.08,Me,3,3,V,,,0.46,Sh,2.0,481
2130,2021,228,1.36,Sh,5,1,M,1.0,1.0,1.54,Sh,2.0,481
2131,2021,228,1.36,Sh,5,2,M,0.0,0.0,1.4,Sh,1.0,481
2132,2021,228,1.36,Sh,5,3,M,1.0,3.0,0.04,Sh,3.0,481
2133,2021,228,1.36,Sh,5,4,S,0.0,0.0,,,,481
2134,2021,228,1.36,Sh,5,5,B,,,,,,481
2135,2021,229,4.24,Sh,3,1,B,,,,,,481
2136,2021,229,4.24,Sh,3,2,M,1.0,3.0,5.22,Me,4.0,481
2137,2021,229,4.24,Sh,3,3,V,,,9.62,Me,7.0,481
2138,2021,229,4.24,Sh,3,3,V,,,3.77,Sh,1.0,481
2139,2021,230,2.36,Sh,8,1,B,,,,,,481
2140,2021,230,2.36,Sh,8,2,V,,,4.0,Sh,4.0,481
2141,2021,230,2.36,Sh,8,3,B,,,,,,481
2142,2021,230,2.36,Sh,8,4,M,1.0,5.0,2.66,Sh,3.0,481
2143,2021,230,2.36,Sh,8,5,M,1.0,1.0,3.3,Sh,4.0,481
