bud_id,year,shoot_id,length_cm,cat,nodes,rank,fate,clusters,nuts,new_length_cm,new_cat,new_nodes,simulation_nb
231,2020,14,1.19,Sh,5,1,V,,,,,,284
232,2020,14,1.19,Sh,5,2,S,0.0,0.0,,,,284
233,2020,14,1.19,Sh,5,3,V,,,5.75,Me,6.0,284
234,2020,14,1.19,Sh,5,3,M,1.0,2.0,0.69,Sh,2.0,284
235,2020,14,1.19,Sh,5,4,V,,,,,,284
236,2020,14,1.19,Sh,5,5,M,0.0,0.0,1.06,Sh,1.0,284
237,2020,14,1.19,Sh,5,5,M,0.0,0.0,5.45,Me,4.0,284
238,2020,15,3.84,Sh,6,1,B,,,,,,284
239,2020,15,3.84,Sh,6,2,M,,,,,,284
240,2020,15,3.84,Sh,6,3,M,1.0,3.0,0.51,Sh,2.0,284
241,2020,15,3.84,Sh,6,4,M,1.0,1.0,1.2,Sh,1.0,284
242,2020,15,3.84,Sh,6,5,B,,,,,,284
243,2020,15,3.84,Sh,6,6,M,0.0,0.0,0.61,Sh,2.0,284
244,2020,16,8.87,Me,3,1,B,,,,,,284
245,2020,16,8.87,Me,3,2,M,1.0,3.0,2.23,Sh,2.0,284
246,2020,16,8.87,Me,3,3,B,,,,,,284
247,2020,17,5.26,Me,4,1,S,0.0,0.0,,,,284
248,2020,17,5.26,Me,4,2,V,,,1.9,Sh,3.0,284
249,2020,17,5.26,Me,4,3,M,1.0,2.0,6.15,Me,7.0,284
250,2020,17,5.26,Me,4,4,B,,,,,,284
251,2020,18,1.74,Sh,4,1,V,,,4.18,Sh,1.0,284
252,2020,18,1.74,Sh,4,2,M,0.0,0.0,2.06,Sh,5.0,284
253,2020,18,1.74,Sh,4,3,V,,,,,,284
254,2020,18,1.74,Sh,4,4,B,,,,,,284
255,2020,19,1.52,Sh,6,1,V,,,2.39,Sh,1.0,284
256,2020,19,1.52,Sh,6,2,S,0.0,0.0,,,,284
257,2020,19,1.52,Sh,6,3,S,0.0,0.0,,,,284
258,2020,19,1.52,Sh,6,4,S,0.0,0.0,,,,284
259,2020,19,1.52,Sh,6,5,M,0.0,0.0,7.35,Me,6.0,284
260,2020,19,1.52,Sh,6,5,M,0.0,0.0,1.28,Sh,1.0,284
261,2020,19,1.52,Sh,6,5,V,,,4.43,Sh,7.0,284
262,2020,19,1.52,Sh,6,5,M,0.0,0.0,2.64,Sh,3.0,284
263,2020,19,1.52,Sh,6,6,M,1.0,2.0,1.43,Sh,2.0,284
264,2020,20,4.69,Sh,2,1,B,,,,,,284
265,2020,20,4.69,Sh,2,2,V,,,4.85,Sh,4.0,284
266,2020,21,9.18,Me,9,1,V,,,3.04,Sh,3.0,284
267,2020,21,9.18,Me,9,2,M,1.0,1.0,1.48,Sh,3.0,284
268,2020,21,9.18,Me,9,2,M,0.0,0.0,3.34,Sh,3.0,284
269,2020,21,9.18,Me,9,3,V,,,3.58,Sh,3.0,284
270,2020,21,9.18,Me,9,3,M,0.0,0.0,2.85,Sh,4.0,284
271,2020,21,9.18,Me,9,4,V,,,4.29,Sh,3.0,284
272,2020,21,9.18,Me,9,5,V,,,0.37,Sh,4.0,284
273,2020,21,9.18,Me,9,5,M,1.0,8.0,4.18,Sh,2.0,284
274,2020,21,9.18,Me,9,5,M,1.0,1.0,1.5,Sh,2.0,284
275,2020,21,9.18,Me,9,5,M,1.0,2.0,1.7,Sh,3.0,284
276,2020,21,9.18,Me,9,6,M,0.0,0.0,9.62,Me,4.0,284
277,2020,21,9.18,Me,9,7,M,0.0,0.0,7.63,Me,8.0,284
278,2020,21,9.18,Me,9,8,M,,,,,,284
279,2020,21,9.18,Me,9,9,V,,,3.75,Sh,7.0,284
280,2020,21,9.18,Me,9,9,M,0.0,0.0,5.25,Me,1.0,284
281,2020,21,9.18,Me,9,9,M,0.0,0.0,6.53,Me,7.0,284
